Target,DOCK AUC,Glide AUC,Surflex AUC,Surflex ER1%,PDB ID,LIGAND ID,SURFLEX AUC （Ensemble）,SURFLEX  ER1%（Ensemble)
aa2ar,0.83,0.87,0.88,44,3EML,ZMA,0.86,30
abl1,0.81,0.79,0.86,26,2HZI,JIN,0.84,30
ace,0.72,0.84,0.86,22,3BKL,KAW,0.86,41
aces,0.81,0.64,0.53,3,1E66,HUX,0.74,19
ada,0.76,0.76,0.89,28,2E1W,FR6,0.76,8
ada17,0.77,0.85,0.9,47,2OI0,283,0.9,46
adrb1,0.76,0.85,0.79,27,2VT4,P32,0.85,28
adrb2,0.69,0.86,0.82,23,3NY8,JRZ,0.88,26
akt1,0.72,0.69,0.78,6,3CQW,CQW,0.8,7
akt2,0.77,0.83,0.85,25,3D0E,G93,0.84,12
aldr,0.76,0.76,0.8,28,2HV5,ZST,0.85,38
andr,0.51,0.81,0.56,12,2AM9,TES,0.59,11
aofb,0.75,0.77,0.75,3,1S3B,RMA,0.82,20
bace1,0.66,0.78,0.79,14,3L5D,BDV,0.85,43
braf,0.83,0.89,0.86,24,3D4Q,SM5,0.93,37
cah2,0.73,0.63,0.77,1,1BCD,FMS,0.82,2
casp3,0.72,0.78,0.7,16,2CNK,PHQ,0.74,25
cdk2,0.79,0.89,0.74,10,1H00,FAP,0.83,24
comt,0.89,0.99,0.86,0,3BWM,DNC,0.85,7
csf1r,0.86,0.78,0.74,6,3KRJ,KRJ,0.82,30
def,0.69,0.91,0.96,43,1LRU,BB2,0.96,52
dhi1,0.68,0.65,0.75,12,3FRJ,A49,0.74,7
dpp4,0.87,0.88,0.84,25,2I78,KIQ,0.84,23
dyr,0.87,0.86,0.94,70,3NXO,D2B,0.96,76
egfr,0.84,0.83,0.85,19,2RGP,HYZ,0.77,10
esr1,0.67,0.86,0.78,27,1SJ0,E4D,0.84,41
esr2,0.65,0.92,0.78,27,2FSZ,OHT,0.81,30
fa10,0.97,0.93,0.82,27,3KL6,443,0.83,28
fa7,0.88,0.96,0.99,83,1W7X,413,0.98,69
fabp4,0.9,0.82,0.9,23,2NNQ,T4B,0.89,6
fak1,0.75,0.8,0.88,13,3BZ3,YAM,0.82,21
fgfr1,0.73,0.77,0.8,19,3C4F,C4F,0.9,34
fkb1a,0.75,0.88,0.73,1,1J4H,SUB,0.84,10
fnta,0.76,0.79,0.76,7,3.00E+37,ED5,0.68,9
fpps,0.84,0.71,0.83,0,1ZW5,ZOL,0.96,24
gcr,0.44,0.73,0.54,17,3BQD,DAY,0.59,9
glcm,0.81,0.7,0.8,37,2V3F,BTB,0.81,54
gria2,0.71,0.79,0.83,33,3KGC,ZK1,0.78,16
grik1,0.86,0.87,0.96,67,1VSO,AT1,0.95,61
hdac2,0.77,0.78,0.9,24,3MAX,LLX,0.91,25
hdac8,0.8,0.86,0.93,12,3F07,AGE,0.91,14
hivint,0.64,0.75,0.68,5,3NF7,CIW,0.65,5
hivpr,0.6,0.77,0.71,2,1XL2,189,0.84,29
hivrt,0.64,0.84,0.83,22,3LAN,KBT,0.79,9
hmdh,0.74,0.9,0.95,62,3CCW,4HI,0.91,59
hs90a,0.69,0.72,0.72,1,1UYG,PU2,0.62,1
hxk4,0.8,0.62,0.53,16,3F9M,MRK,0.89,23
inha,0.85,0.57,0.87,9,4TRJ,665,0.73,2
jak2,0.82,0.91,0.85,26,3LPB,NVB,0.72,8
kif11,0.77,0.86,0.85,26,3CJO,K30,0.89,44
lck,0.82,0.82,0.86,30,2OF2,547,0.89,32
lkha4,0.82,0.89,0.87,16,3CHP,4BO,0.85,22
mapk2,0.86,0.95,0.88,12,3M2W,L8I,0.88,33
mcr,0.36,0.84,0.49,5,2AA2,AS4,0.67,15
met,0.89,0.87,0.93,60,3LQ8,88Z,0.9,60
mk01,0.79,0.8,0.83,9,2OJG,19A,0.9,29
mk10,0.82,0.81,0.73,10,2ZDT,46C,0.81,12
mk14,0.74,0.7,0.66,8,2QD9,LGF,0.89,38
mmp13,0.71,0.78,0.88,38,830C,RS1,0.86,22
mp2k1,0.78,0.77,0.76,7,3EQH,5BM,0.77,5
nos1,0.78,0.7,0.75,21,1QW6,3AR,0.71,6
nram,0.93,0.94,0.96,45,1B9V,RA2,0.99,91
pa2ga,0.72,0.72,0.78,31,1KVO,OAP,0.76,39
parp1,0.79,0.92,0.94,56,3L3M,A92,0.97,58
pde5a,0.72,0.86,0.76,7,1UDT,VIA,0.82,3
pgh1,0.53,0.71,0.69,18,2OYU,IMS,0.6,18
pgh2,0.62,0.81,0.76,29,3LN1,CEL,0.75,27
plk1,0.84,0.93,0.9,10,2OWB,626,0.82,13
pnph,0.81,0.95,0.87,50,3BGS,DIH,0.85,4
ppara,0.81,0.82,0.88,21,2P54,735,0.93,34
ppard,0.89,0.72,0.91,33,2ZNP,K55,0.95,58
pparg,0.8,0.85,0.84,20,2GTK,208,0.89,39
prgr,0.56,0.91,0.63,10,3KBA,WOW,0.74,19
ptn1,0.84,0.82,0.85,17,2AZR,982,0.86,27
pur2,0.92,0.99,1,96,1NJS,KEU,1,100
pygm,0.72,0.64,0.71,0,1C8K,CPB,0.67,1
pyrd,0.83,0.86,0.84,50,1D3G,BRE,0.91,49
reni,0.66,0.8,0.66,20,3G6Z,A7T,0.78,24
rock1,0.74,0.84,0.84,25,2ETR,Y27,0.87,22
rxra,0.71,0.97,0.81,56,1MV9,HXA,0.85,67
sahh,0.85,0.97,0.87,60,1LI4,NOC,0.98,75
src,0.77,0.77,0.74,16,3EL8,PD5,0.82,17
tgfr1,0.88,0.94,0.92,47,3HMM,855,0.92,47
thb,0.79,0.85,0.89,50,1Q4X,G24,0.88,59
thrb,0.81,0.91,0.89,38,1YPE,UIP,0.89,36
try1,0.93,0.85,0.87,29,2AYW,ONO (A501),0.92,54
tryb1,0.87,0.86,0.85,33,2ZEC,11N,0.94,43
tysy,0.82,0.92,0.85,22,1SYN,F89,0.84,38
urok,0.95,0.85,0.92,78,1SQT,UI3,0.92,65
vgfr2,0.79,0.72,0.78,10,2P2I,608,0.9,34
wee1,0.91,1,0.99,91,3BIZ,61E,0.99,91
xiap,0.88,0.92,0.96,87,3HL5,9JZ,0.96,87
mean,0.77,0.82,0.82,27,,,0.84,31
Median,0.79,0.84,0.84,23,,,0.85,28
sd,0.11,0.09,0.11,22,,,0.09,23
