Receptor,Active,Total,AUC,BEDROC (alpha=20),EF 1%,EF 5%,EF 10%
aa2ar,483,31981,0.63,0.11,1.86,2.48,1.78
abl1,183,10928,0.78,0.36,14.11,7.64,4.86
ace,281,17141,0.6,0.11,2.13,2.06,1.89
aces,454,26687,0.77,0.33,13.87,6.47,4.32
ada,94,5543,0.57,0.07,1.05,0.42,2.12
ada17,533,36342,0.69,0.38,27.72,6.98,4.01
adrb1,248,16090,0.73,0.18,3.63,2.9,3.02
adrb2,232,15225,0.71,0.17,3.43,3.62,3.1
akt1,294,16720,0.75,0.23,4.4,4.56,3.71
akt2,118,7011,0.81,0.4,23.43,6.77,5.33
aldr,160,9155,0.74,0.3,12.44,5.87,4.12
ampc,49,2881,0.51,0.06,0,1.22,1.22
andr,270,14613,0.64,0.34,18.41,6.89,4.07
aofb,123,7023,0.78,0.29,5.63,6,4.55
bace1,284,18364,0.71,0.17,4.92,3.1,2.75
braf,153,10095,0.85,0.37,14.37,8.1,5.1
cah2,493,31626,0.55,0.05,0.2,0.81,0.83
casp3,199,10891,0.71,0.16,1,2.81,2.66
cdk2,475,28305,0.7,0.21,9.02,3.87,2.88
comt,42,3890,0.59,0.07,4.75,0.95,0.95
cp2c9,96,6082,0.62,0.15,4.15,3.12,2.5
cp3a4,168,11964,0.6,0.12,3.56,2.02,2.02
csf1r,167,12311,0.71,0.14,1.78,2.51,2.51
cxcr4,41,3447,0.6,0.04,0,0.49,1.46
def,79,4653,0.74,0.25,6.27,4.55,3.54
dhi1,331,19671,0.77,0.21,5.13,4.17,3.5
dpp4,534,41450,0.66,0.08,0.37,1.2,1.4
drd3,480,34502,0.74,0.18,3.74,3.37,2.94
dyr,232,17402,0.78,0.21,4.71,4.48,3.36
egfr,543,35563,0.64,0.14,3.68,2.76,2.17
esr1,384,21047,0.83,0.4,19.48,7.44,5
esr2,368,20550,0.79,0.37,14.1,7.44,5.11
fa10,538,20561,0.84,0.41,15.77,7.28,5.05
fa7,115,6360,0.91,0.49,13.83,10.96,7.13
fabp4,47,2796,0.78,0.42,31.87,6.8,4.67
fak1,101,5451,0.83,0.35,18.64,6.52,3.86
fgfr1,140,473,0.58,0.36,1.35,1.13,1.2
fkb1a,112,5912,0.74,0.19,7.92,3.21,2.41
fnta,593,52023,0.72,0.23,7.07,5.02,3.69
fpps,86,8908,0.28,0,0,0,0
gcr,259,15246,0.65,0.3,15,5.79,3.9
glcm,55,3854,0.47,0.01,0,0,0.18
gria2,159,11991,0.75,0.28,10.06,5.66,4.4
grik1,102,6649,0.59,0.13,2.92,3.13,2.25
hdac2,186,10485,0.87,0.39,11.27,8.05,5.86
hdac8,171,10619,0.82,0.41,16.83,8.3,5.26
hivint,101,6745,0.69,0.12,1.96,2.77,2.37
hivpr,537,36225,0.71,0.19,4.09,3.95,3.24
hivrt,338,19217,0.66,0.15,4.12,2.72,2.4
hmdh,171,8914,0.8,0.24,6.95,4.44,3.51
hs90a,89,4937,0.29,0,0,0,0
hxk4,93,4789,0.55,0.09,1.07,1.93,1.08
igf1r,149,9440,0.85,0.35,13.34,6.58,5.23
inha,44,2344,0.73,0.26,8.88,6.32,3.17
ital,139,8626,0.62,0.07,0,1.58,1.29
jak2,108,6603,0.78,0.33,16.43,6.46,4.07
kif11,117,6965,0.87,0.55,27.21,11.43,6.58
kit,167,10614,0.78,0.18,2.97,3.23,3.11
kith,58,2908,0.77,0.51,33.43,9.96,5.34
kpcb,136,8828,0.76,0.42,24.07,8.52,5
lck,421,27795,0.76,0.23,8.79,4.27,3.61
lkha4,172,9620,0.9,0.47,13.26,9.88,7.27
mapk2,102,6249,0.89,0.45,16.53,9.2,6.57
mcr,95,5241,0.58,0.17,8.33,2.73,2.52
met,167,11407,0.82,0.25,5.94,5.14,4.49
mk01,80,4628,0.82,0.23,1.23,4.24,4.62
mk10,105,6704,0.77,0.22,9.39,3.8,3.71
mk14,579,36389,0.73,0.19,4.49,3.28,2.94
mmp13,573,37699,0.65,0.15,3.49,2.79,2.39
mp2k1,122,8269,0.6,0.05,0,0.82,0.98
nos1,92,6544,0.58,0.09,2.16,1.73,1.41
nram,99,6298,0.55,0.02,0,0.2,0.3
pa2ga,100,5246,0.58,0.04,0.99,0.4,0.5
parp1,509,30544,0.84,0.34,14.12,6.21,4.58
pde5a,399,27920,0.68,0.26,12.25,5.16,3.43
pgh1,196,10993,0.64,0.17,5.61,3.26,2.75
pgh2,436,23571,0.76,0.43,20.16,8.8,5.27
plk1,108,6905,0.64,0.13,1.83,1.85,2.22
pnph,104,7054,0.87,0.34,13.37,7.3,5
ppara,374,19730,0.87,0.34,7.73,6.73,5.75
ppard,241,12464,0.78,0.15,1.65,2.65,2.78
pparg,485,25741,0.79,0.22,4.53,4.08,3.67
prgr,294,15936,0.69,0.36,16.6,7.07,4.49
ptn1,131,7374,0.82,0.46,23.58,8.85,5.42
pur2,51,2745,0.93,0.44,5.77,8.19,7.83
pygm,78,4018,0.61,0.1,0,1.79,1.67
pyrd,112,6558,0.84,0.44,22.18,8.39,5.89
reni,105,7060,0.66,0.2,6.63,3.62,2.95
rock1,101,6398,0.71,0.14,5.94,2.57,1.98
rxra,132,7067,0.8,0.5,29.41,9.23,5.6
sahh,64,3514,0.83,0.53,27.45,10.61,6.55
src,525,34979,0.66,0.13,4,2.36,1.96
tgfr1,134,8632,0.9,0.43,11.11,9.39,6.41
thb,104,7545,0.82,0.5,27.68,9.6,6.05
thrb,462,27410,0.81,0.25,4.31,4.8,3.98
try1,450,26364,0.81,0.21,3.11,3.82,3.91
tryb1,149,7792,0.73,0.2,6.7,3.22,3.42
tysy,110,6848,0.88,0.54,21.65,10.89,7.18
urok,163,10004,0.8,0.28,7.9,5.88,3.92
vgfr2,410,25337,0.77,0.36,18.98,6.78,4.49
wee1,103,6251,0.95,0.8,52.98,15.71,8.63
xiap,101,5246,0.71,0.22,6.86,4.15,3.26
