target,ROCAUC,BEDROC ¦Á=80.5
aa2ar,0.87 ,0.35 
abl1,0.79 ,0.35 
ace,0.84 ,0.29 
aces,0.64 ,0.10 
ada,0.76 ,0.45 
ada17,0.85 ,0.50 
adrb1,0.85 ,0.35 
adrb2,0.86 ,0.44 
akt1,0.69 ,0.28 
akt2,0.83 ,0.41 
aldr,0.76 ,0.41 
ampc,0.85 ,0.32 
andr,0.81 ,0.37 
aofb,0.77 ,0.15 
bace1,0.78 ,0.24 
braf,0.89 ,0.56 
cah2,0.63 ,0.06 
casp3,0.78 ,0.49 
cdk2,0.89 ,0.47 
comt,0.99 ,0.89 
cp2c9,0.61 ,0.00 
cp3a4,0.72 ,0.17 
csf1r,0.78 ,0.30 
cxcr4,0.69 ,0.14 
def,0.91 ,0.24 
dhi1,0.65 ,0.15 
dpp4,0.88 ,0.21 
drd3,0.68 ,0.03 
dyr,0.86 ,0.38 
egfr,0.83 ,0.42 
esr1,0.86 ,0.75 
esr2,0.92 ,0.73 
fa10,0.93 ,0.78 
fa7,0.96 ,0.80 
fabp4,0.82 ,0.56 
fak1,0.80 ,0.40 
fgfr1,0.77 ,0.23 
fkb1a,0.88 ,0.68 
fnta,0.79 ,0.19 
fpps,0.71 ,0.00 
gcr,0.73 ,0.28 
glcm,0.70 ,0.22 
gria2,0.79 ,0.51 
grik1,0.87 ,0.33 
hdac2,0.78 ,0.23 
hdac8,0.86 ,0.05 
hhrb,0.91 ,0.59 
hivint,0.75 ,0.09 
hivpr,0.77 ,0.27 
hivrt,0.84 ,0.41 
hmdh,0.90 ,0.69 
hsp90,0.72 ,0.11 
hxk4,0.62 ,0.36 
igf1r,0.83 ,0.37 
inha,0.57 ,0.24 
ital,0.67 ,0.16 
jak2,0.91 ,0.46 
kif11,0.86 ,0.62 
kit,0.64 ,0.12 
kith,0.88 ,0.70 
kpcb,0.86 ,0.67 
lck,0.82 ,0.33 
lkha4,0.89 ,0.45 
mapk2,0.95 ,0.64 
mcr,0.84 ,0.51 
met,0.87 ,0.46 
mk01,0.80 ,0.34 
mk10,0.81 ,0.26 
mmp13,0.78 ,0.23 
mp2k1,0.77 ,0.16 
nos1,0.70 ,0.07 
nram,0.94 ,0.66 
pa2ga,0.72 ,0.48 
parp1,0.92 ,0.61 
pde5a,0.86 ,0.41 
pgh1,0.71 ,0.22 
phg2,0.81 ,0.60 
plk1,0.93 ,0.70 
pnph,0.95 ,0.61 
ppara,0.82 ,0.24 
ppard,0.72 ,0.11 
pparg,0.85 ,0.40 
ptn1,0.82 ,0.37 
pur2,0.99 ,0.99 
pygm,0.64 ,0.02 
pyrd,0.86 ,0.61 
ren1,0.80 ,0.32 
rock1,0.84 ,0.44 
rxra,0.97 ,0.81 
sahh,0.97 ,0.96 
src,0.77 ,0.25 
tgfr1,0.94 ,0.60 
thb,0.85 ,0.59 
thrb,0.91 ,0.59 
try1,0.85 ,0.40 
tryb1,0.86 ,0.46 
tysy,0.92 ,0.64 
urok,0.85 ,0.63 
vgfr2,0.72 ,0.34 
wee1,1.00 ,0.99 
xiap,0.92 ,0.81 
